"";"codigo";"AT";"SIL";"ARG";"AD";"base"
"1";"Couto_LDP011";96;1;3;0,0740846508396787;"Couto"
"2";"Couto_LDP012";96;1;3;0,0724283602878221;"Couto"
"3";"Couto_LDP013";96;1;3;0,0816790763479767;"Couto"
"4";"Couto_LDP014";93;2;4;0,0807821632943857;"Couto"
"5";"Couto_LDP015";97;0;2;0,0588723774329489;"Couto"
"6";"Couto_LDP016";89;1;10;0,101456219319668;"Couto"
"7";"Couto_LDP017";87;1;11;0,10134768014207;"Couto"
"8";"Couto_LDP018";86;1;13;0,104435045523789;"Couto"
"9";"Couto_LDP019";86;1;13;0,083709449270147;"Couto"
"10";"Couto_LDP020";85;2;13;0,105770736309105;"Couto"
"11";"Couto_LDP021";89;1;10;0,0942181234605673;"Couto"
"12";"Couto_LDP022";89;2;9;0,083003827586681;"Couto"
"13";"Couto_LDP024";85;2;13;0,0945694542247392;"Couto"
"14";"Couto_LDP025";87;2;11;0,0885488134262126;"Couto"
"15";"Couto_LDP026";94;0;6;0,0916651513715751;"Couto"
"16";"Couto_LDP027";92;1;7;0,0731714466598282;"Couto"
"17";"Couto_LDP028";89;3;9;0,0870168748950799;"Couto"
"18";"Couto_LDP029";90;1;8;0,0865971253283018;"Couto"
"19";"Couto_LDP030";91;2;7;0,0856089102818653;"Couto"
"20";"Couto_LDP031";92;1;6;0,0955457454962333;"Couto"
"21";"Couto_LDP032";94;1;5;0,0883102486134767;"Couto"
"22";"Couto_LDP033";92;1;7;0,0763795536029131;"Couto"
"23";"Couto_LDP034";90;2;8;0,0973680409575145;"Couto"
"24";"Couto_LDP035";91;2;7;0,0645281523583776;"Couto"
"25";"Couto_LDP036";92;1;7;0,105634773156299;"Couto"
"26";"Couto_LDP038";91;1;8;0,11134844392033;"Couto"
"27";"Couto_LDP039";90;2;8;0,122889799341006;"Couto"
"28";"Couto_LDP040";89;2;9;0,111857577963643;"Couto"
"29";"Couto_LDP041";92;0;8;0,125846507770853;"Couto"
"30";"Couto_LDP042";90;1;9;0,108604345698534;"Couto"
"31";"Couto_LDP043";91;1;8;0,0920613798911422;"Couto"
"32";"Couto_LDP044";88;1;10;0,104745100044349;"Couto"
"33";"Couto_LDP045";88;2;9;0,0967109114025604;"Couto"
"34";"Couto_LDP046";91;1;9;0,0849351273272586;"Couto"
"35";"Couto_LDP047";89;1;10;0,121800732952001;"Couto"
"36";"Couto_LDP048";85;2;13;0,0922493863614082;"Couto"
"37";"Couto_LDP049";82;2;17;0,101003766025523;"Couto"
"38";"Couto_LDP050";94;1;5;0,10974336230743;"Couto"
"39";"Couto_LDP051";93;1;7;0,0682988694658765;"Couto"
"40";"Couto_LDP052";90;1;8;0,10250511887718;"Couto"
"41";"Couto_LDP053";90;2;9;0,0738796148117564;"Couto"
"42";"Couto_LDP054";90;2;9;0,0878766312668169;"Couto"
"43";"Couto_LDP055";94;1;5;0,110352394975024;"Couto"
"44";"Couto_LDP056";93;1;6;0,13741141921595;"Couto"
"45";"Couto_LDP057";90;1;8;0,0602650511290872;"Couto"
"46";"Couto_LDP058";89;2;10;0,083227189556365;"Couto"
"47";"Couto_LDP059";89;3;8;0,127286461817369;"Couto"
"48";"Couto_LDP060";91;2;7;0,109375948907565;"Couto"
"49";"Couto_LDP061";92;1;7;0,093077385577925;"Couto"
"50";"Couto_LDP062";91;1;7;0,0828368602783537;"Couto"
"51";"Couto_LDP063";92;2;6;0,0851199251045017;"Couto"
"52";"Couto_LDP064";92;1;6;0,0761569610078778;"Couto"
"53";"Couto_LDP065";92;4;4;0,211150156873558;"Couto"
"54";"Couto_LDP066";90;5;4;0,133659378368675;"Couto"
"55";"Couto_LDP067";90;5;5;0,125205171937418;"Couto"
"56";"Couto_LDP068";89;6;5;0,11645089459725;"Couto"
"57";"Couto_LDP069";86;6;8;0,111442571637427;"Couto"
"58";"Couto_LDP070";85;5;10;0,107526161230139;"Couto"
"59";"Couto_LDP071";85;5;10;0,0897682080953835;"Couto"
