ID;AT;SIL;ARG;AD
ZARC_1;2;5;93;0,098
ZARC_2;3;4;93;0,09
ZARC_3;2;6;92;0,055
ZARC_4;1;7;92;0,052
ZARC_5;3;6;91;0,062
ZARC_6;2;9;89;0,058
ZARC_7;2;9;89;0,058
ZARC_8;2;9;89;0,071
ZARC_9;4;8;88;0,074
ZARC_10;8;6;86;0,08
ZARC_11;8;6;86;0,075
ZARC_12;8;6;86;0,075
ZARC_13;7;7;86;0,073
ZARC_14;7;7;86;0,073
ZARC_15;5;9;86;0,07
ZARC_16;5;9;86;0,07
ZARC_17;2;13;85;0,09
ZARC_18;2;15;83;0,136
ZARC_19;2;16;82;0,12
ZARC_20;4;18;78;0,091
ZARC_21;4;18;78;0,07
ZARC_22;5;18;77;0,088
ZARC_23;5;18;77;0,088
ZARC_24;9;16;75;0,087
ZARC_25;9;16;75;0,087
ZARC_26;14;11;75;0,133
ZARC_27;2;23;75;0,123
ZARC_28;3;23;74;0,13
ZARC_29;3;23;74;0,079
ZARC_30;9;18;73;0,107
ZARC_31;9;18;73;0,107
ZARC_32;9;18;73;0,087
ZARC_33;6;21;73;0,07
ZARC_34;6;21;73;0,07
ZARC_35;18;10;72;0,081
ZARC_36;18;10;72;0,081
ZARC_37;13;15;72;0,084
ZARC_38;19;10;71;0,094
ZARC_39;18;12;70;0,081
ZARC_40;4;26;70;0,104
ZARC_41;17;14;69;0,1
ZARC_42;21;10;69;0,096
ZARC_43;5;26;69;0,094
ZARC_44;5;26;69;0,094
ZARC_45;4;27;69;0,092
ZARC_46;17;14;69;0,1
ZARC_47;21;10;69;0,096
ZARC_48;22;10;68;0,096
ZARC_49;8;24;68;0,115
ZARC_50;8;24;68;0,115
ZARC_51;11;21;68;0,104
ZARC_52;11;21;68;0,104
ZARC_53;4;28;68;0,097
ZARC_54;17;16;67;0,12
ZARC_55;4;29;67;0,115
ZARC_56;3;31;66;0,11
ZARC_57;21;13;66;0,102
ZARC_58;22;12;66;0,094
ZARC_59;22;12;66;0,091
ZARC_60;21;13;66;0,121
ZARC_61;21;13;66;0,102
ZARC_62;3;31;66;0,1
ZARC_63;15;19;66;0,1
ZARC_64;22;12;66;0,091
ZARC_65;20;14;66;0,073
ZARC_66;23;12;65;0,125
ZARC_67;22;13;65;0,114
ZARC_68;20;15;65;0,086
ZARC_69;14;21;65;0,14
ZARC_70;23;12;65;0,125
ZARC_71;12;23;65;0,121
ZARC_72;12;23;65;0,121
ZARC_73;22;13;65;0,114
ZARC_74;5;30;65;0,099
ZARC_75;22;13;65;0,096
ZARC_76;20;15;65;0,086
ZARC_77;23;12;65;0,074
ZARC_78;5;30;65;0,099
ZARC_79;28;8;64;0,144
ZARC_80;28;8;64;0,144
ZARC_81;11;25;64;0,11
ZARC_82;21;15;64;0,092
ZARC_83;27;9;64;0,086
ZARC_84;27;9;64;0,086
ZARC_85;6;30;64;0,085
ZARC_86;6;30;64;0,085
ZARC_87;25;11;64;0,08
ZARC_88;27;10;63;0,081
