regiao,faixa_isna,cad,risco
Úmida moderada,< 0.6,5,0.888888888888889
Úmida moderada,< 0.6,10,0.722222222222222
Úmida moderada,< 0.6,15,0.611111111111111
Úmida moderada,< 0.6,25,0.5
Úmida moderada,< 0.6,35,0.472222222222222
Úmida moderada,< 0.6,50,0.416666666666667
Úmida moderada,< 0.6,65,0.388888888888889
Úmida moderada,< 0.6,80,0.361111111111111
Úmida moderada,< 0.6,120,0.194444444444444
Úmida moderada,< 0.5,5,0.65
Úmida moderada,< 0.5,10,0.5
Úmida moderada,< 0.5,15,0.416666666666667
Úmida moderada,< 0.5,25,0.333333333333333
Úmida moderada,< 0.5,35,0.333333333333333
Úmida moderada,< 0.5,50,0.305555555555556
Úmida moderada,< 0.5,65,0.25
Úmida moderada,< 0.5,80,0.194444444444444
Úmida moderada,< 0.5,120,0.083333333333333
Úmida moderada,< 0.4,5,0.472222222222222
Úmida moderada,< 0.4,10,0.277777777777778
Úmida moderada,< 0.4,15,0.222222222222222
Úmida moderada,< 0.4,25,0.166666666666667
Úmida moderada,< 0.4,35,0.222222222222222
Úmida moderada,< 0.4,50,0.111111111111111
Úmida moderada,< 0.4,65,0.111111111111111
Úmida moderada,< 0.4,80,0.055555555555556
Úmida moderada,< 0.4,120,0.027777777777778
Seca,< 0.6,5,1
Seca,< 0.6,10,0.944444444444444
Seca,< 0.6,15,0.916666666666667
Seca,< 0.6,25,0.75
Seca,< 0.6,35,0.722222222222222
Seca,< 0.6,50,0.694444444444444
Seca,< 0.6,65,0.638888888888889
Seca,< 0.6,80,0.611111111111111
Seca,< 0.6,120,0.555555555555556
Seca,< 0.5,5,0.944444444444444
Seca,< 0.5,10,0.777777777777778
Seca,< 0.5,15,0.694444444444444
Seca,< 0.5,25,0.583333333333333
Seca,< 0.5,35,0.527777777777778
Seca,< 0.5,50,0.527777777777778
Seca,< 0.5,65,0.5
Seca,< 0.5,80,0.49
Seca,< 0.5,120,0.416666666666667
Seca,< 0.4,5,0.722222222222222
Seca,< 0.4,10,0.611111111111111
Seca,< 0.4,15,0.5
Seca,< 0.4,25,0.472222222222222
Seca,< 0.4,35,0.444444444444444
Seca,< 0.4,50,0.444444444444444
Seca,< 0.4,65,0.416666666666667
Seca,< 0.4,80,0.388888888888889
Seca,< 0.4,120,0.194444444444444
Úmida,< 0.6,5,0.805555555555556
Úmida,< 0.6,10,0.527777777777778
Úmida,< 0.6,15,0.444444444444444
Úmida,< 0.6,25,0.333333333333333
Úmida,< 0.6,35,0.305555555555556
Úmida,< 0.6,50,0.25
Úmida,< 0.6,65,0.222222222222222
Úmida,< 0.6,80,0.138888888888889
Úmida,< 0.6,120,0.083333333333333
Úmida,< 0.5,5,0.5
Úmida,< 0.5,10,0.333333333333333
Úmida,< 0.5,15,0.222222222222222
Úmida,< 0.5,25,0.166666666666667
Úmida,< 0.5,35,0.138888888888889
Úmida,< 0.5,50,0.111111111111111
Úmida,< 0.5,65,0.083333333333333
Úmida,< 0.5,80,0.083333333333333
Úmida,< 0.5,120,0.027777777777778
Úmida,< 0.4,5,0.305555555555556
Úmida,< 0.4,10,0.166666666666667
Úmida,< 0.4,15,0.138888888888889
Úmida,< 0.4,25,0.111111111111111
Úmida,< 0.4,35,0.083333333333333
Úmida,< 0.4,50,0.083333333333333
Úmida,< 0.4,65,0.055555555555556
Úmida,< 0.4,80,0.027777777777778
Úmida,< 0.4,120,0
Seca moderada,< 0.6,5,0.944444444444444
Seca moderada,< 0.6,10,0.833333333333333
Seca moderada,< 0.6,15,0.805555555555556
Seca moderada,< 0.6,25,0.611111111111111
Seca moderada,< 0.6,35,0.583333333333333
Seca moderada,< 0.6,50,0.5
Seca moderada,< 0.6,65,0.527777777777778
Seca moderada,< 0.6,80,0.472222222222222
Seca moderada,< 0.6,120,0.333333333333333
Seca moderada,< 0.5,5,0.75
Seca moderada,< 0.5,10,0.611111111111111
Seca moderada,< 0.5,15,0.527777777777778
Seca moderada,< 0.5,25,0.472222222222222
Seca moderada,< 0.5,35,0.472222222222222
Seca moderada,< 0.5,50,0.388888888888889
Seca moderada,< 0.5,65,0.361111111111111
Seca moderada,< 0.5,80,0.333333333333333
Seca moderada,< 0.5,120,0.194444444444444
Seca moderada,< 0.4,5,0.583333333333333
Seca moderada,< 0.4,10,0.388888888888889
Seca moderada,< 0.4,15,0.388888888888889
Seca moderada,< 0.4,25,0.333333333333333
Seca moderada,< 0.4,35,0.361111111111111
Seca moderada,< 0.4,50,0.222222222222222
Seca moderada,< 0.4,65,0.194444444444444
Seca moderada,< 0.4,80,0.194444444444444
Seca moderada,< 0.4,120,0.027777777777778
