"";"ID";"AT";"ARG";"SIL";"AD";"fit.m1";"fit.m2";"res.m1";"res.m2"
"1";"ZARC_1";2;93;5;0,98;0,521806166160651;0,554089328953631;0,458193833839349;0,425910671046369
"2";"ZARC_2";3;93;4;0,9;0,523447687232369;0,556308031629176;0,376552312767631;0,343691968370824
"3";"ZARC_3";2;92;6;0,55;0,547791289794805;0,574677512517864;0,0022087102051954;-0,0246775125178644
"4";"ZARC_4";1;92;7;0,52;0,549057635320463;0,574879782044882;-0,0290576353204633;-0,0548797820448815
"5";"ZARC_5";3;91;6;0,62;0,573056389022311;0,595955444380731;0,0469436109776894;0,0240445556192691
"6";"ZARC_6";2;89;9;0,58;0,625742865682072;0,638367743384969;-0,0457428656820716;-0,0583677433849694
"7";"ZARC_7";2;89;9;0,58;0,625742865682069;0,638367743384967;-0,0457428656820694;-0,0583677433849671
"8";"ZARC_8";2;89;9;0,71;0,62574286568207;0,638367743384964;0,0842571343179299;0,071632256615036
"9";"ZARC_9";4;88;8;0,74;0,645145821185459;0,656625957923993;0,0948541788145411;0,0833740420760072
"10";"ZARC_10";8;86;6;0,8;0,690023050702903;0,700646248031322;0,109976949297097;0,0993537519686781
"11";"ZARC_11";8;86;6;0,75;0,690023050702903;0,700646248031322;0,0599769492970974;0,0493537519686783
"12";"ZARC_12";8;86;6;0,75;0,690023050702903;0,700646248031322;0,0599769492970974;0,0493537519686783
"13";"ZARC_13";7;86;7;0,73;0,688314066649565;0,697422355504249;0,0416859333504348;0,0325776444957507
"14";"ZARC_14";7;86;7;0,73;0,688314066649565;0,697422355504249;0,0416859333504348;0,0325776444957507
"15";"ZARC_15";5;86;9;0,7;0,689680019075666;0,6956784810853;0,0103199809243336;0,00432151891469967
"16";"ZARC_16";5;86;9;0,7;0,689680019075666;0,6956784810853;0,0103199809243336;0,00432151891469967
"17";"ZARC_17";2;85;13;0,9;0,729669445163303;0,727549120962727;0,170330554836697;0,172450879037273
