"AT";"SIL";"ARG";"ADm2_mm_cm";"ClasseAD_m2";"LI_ICm2";"LS_ICm2"
100;0;0;0,178338323192929;"AD 0";0,145662613891663;0,215369228651318
99;1;0;0,19616418038459;"AD 0";0,163585211722665;0,232629417124575
98;2;0;0,214892885986764;"AD 0";0,182461488836798;0,250801026034107
97;3;0;0,234518525559279;"AD 0";0,202225234132168;0,269940533408316
96;4;0;0,255033626088911;"AD 0";0,222798573669007;0,290112298743116
95;5;0;0,276429226737686;"AD 0";0,244094226278813;0,311386501718319
94;6;0;0,298694946757242;"AD 0";0,266019965627501;0,333834865299108
93;7;0;0,321819050796065;"AD 0";0,288485306155503;0,357524146665203
92;8;0;0,345788511798642;"AD 1 (0,40)";0,311409426956422;0,382508382646658
91;9;0;0,370589071672016;"AD 1 (0,40)";0,334728340380595;0,408821883517881
90;10;0;0,396205299875145;"AD 1 (0,40)";0,358399108596506;0,436475172470012
89;11;0;0,422620650069279;"AD 1 (0,40)";0,382399940616103;0,46545503873795
88;12;0;0,449817514952748;"AD 1 (0,40)";0,40672668537334;0,495728189215664
87;13;0;0,477777279390709;"AD 1 (0,40)";0,431387433681443;0,52724678610702
86;14;0;0,506480371939288;"AD 2 (0,56)";0,456397048905495;0,559954051105573
85;15;0;0,535906314853796;"AD 2 (0,56)";0,481772774464792;0,593788788282396
84;16;0;0,566033772662186;"AD 2 (0,56)";0,507531273153654;0,628688470955354
83;17;0;0,596840599377405;"AD 2 (0,56)";0,53368693886444;0,664591052191052
82;18;0;0,628303884415655;"AD 2 (0,56)";0,560251129073542;0,701435850789975
81;19;0;0,660399997281757;"AD 2 (0,56)";0,587231974125656;0,739163856910403
80;20;0;0,693104631077532;"AD 3 (0,78)";0,614634503558869;0,777717717261215
79;21;0;0,726392844884509;"AD 3 (0,78)";0,64246091994439;0,817041569546736
78;22;0;0,760239105068078;"AD 3 (0,78)";0,670710920752614;0,857080825794752
77;23;0;0,794617325546515;"AD 3 (0,78)";0,699382015394941;0,897781957548807
76;24;0;0,829500907064898;"AD 3 (0,78)";0,728469812764402;0,939092307721139
75;25;0;0,864862775510965;"AD 3 (0,78)";0,757968270355535;0,980959938135434
74;26;0;0,90067541930719;"AD 3 (0,78)";0,787869904189422;1,02333351363425
73;27;0;0,936910925910916;"AD 3 (0,78)";0,818165962544442;1,06616221984348
72;28;0;0,97354101745209;"AD 4 (1,10)";0,848846567897106;1,1093957102752
71;29;0;1,01053708553617;"AD 4 (1,10)";0,87990083167459;1,15298407824673
70;30;0;1,04787022523781;"AD 4 (1,10)";0,911316946058438;1,19687784944984
69;31;0;1,08551126830935;"AD 4 (1,10)";0,943082256501331;1,24102799157661
68;32;0;1,12343081562648;"AD 4 (1,10)";0,975183317998766;1,28538593802352
67;33;0;1,16159926889205;"AD 4 (1,10)";1,00760593757496;1,3299036232735
66;34;0;1,19998686161768;"AD 4 (1,10)";1,04033520492799;1,37453352806627
65;35;0;1,23856368940168;"AD 4 (1,10)";1,07335551273958;1,41922873290272
64;36;0;1,27729973952056;"AD 4 (1,10)";1,10665056778558;1,46394297879578
63;37;0;1,31616491985043;"AD 4 (1,10)";1,1402033936739;1,50863073448579
62;38;0;1,35512908713371;"AD 5 (1,53)";1,17399632577843;1,55324726959423
61;39;0;1,39416207460562;"AD 5 (1,53)";1,20801099871984;1,59774873340446
60;40;0;1,43323371899401;"AD 5 (1,53)";1,24222832655956;1,64209223914042
59;41;0;1,4723138869056;"AD 5 (1,53)";1,27662847571457;1,68623595377064
58;42;0;1,51137250061064;"AD 5 (1,53)";1,3111908304636;1,73013919349987
57;43;0;1,5503795632377;"AD 5 (1,53)";1,34589395079566;1,7737625252283
56;44;0;1,58930518338934;"AD 5 (1,53)";1,38071552224842;1,81706787436017
55;45;0;1,62811959918921;"AD 5 (1,53)";1,41563229729602;1,86001863942973
54;46;0;1,66679320177015;"AD 5 (1,53)";1,45062002777486;1,90257981408175
53;47;0;1,70529655821281;"AD 5 (1,53)";1,48565338778561;1,94471811699315
52;48;0;1,74360043394354;"AD 5 (1,53)";1,52070588648475;1,98640213034538
51;49;0;1,78167581459989;"AD 5 (1,53)";1,55574977018872;2,02760244744648
50;50;0;1,81949392737185;"AD 5 (1,53)";1,59075591326839;2,06829183004568
49;51;0;1,85702626182621;"AD 6 (2,14)";1,62569369742741;2,10844537576659
48;52;0;1,8942445902215;"AD 6 (2,14)";1,66053087915354;2,14804069588841
47;53;0;1,93112098732019;"AD 6 (2,14)";1,69523344543204;2,18705810340341
46;54;0;1,96762784970476;"AD 6 (2,14)";1,72976545824516;2,22548081084342
45;55;0;2,00373791460391;"AD 6 (2,14)";1,76408888898463;2,26329513676386
44;56;0;2,03942427823482;"AD 6 (2,14)";1,79816344471617;2,3004907189611
43;57;0;2,07466041366712;"AD 6 (2,14)";1,8319463892961;2,33706073143732
42;58;0;2,10942018821394;"AD 6 (2,14)";1,86539236368848;2,37300210077728
41;59;0;2,14367788035532;"AD 6 (2,14)";1,89845321149815;2,40831571593446
40;60;0;2,17740819619868;"AD 6 (2,14)";1,93107781772654;2,44300662343125
